"12gb -- Prices of Domestic Fuels in Energy Production (VAT not included), 1999Q3-2023Q3"

"Quarter","Domestic fuel","Price (eur/MWh)","Price, year-on-year change (%)"
"2009Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",14.5,15.4
"2009Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",14.5,15.4
"2009Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",10.2,-7.0
"2009Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",10.2,-7.0
"2009Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",13.1,-1.4
"2009Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",13.1,-1.4
"2009Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",10.2,-7.1
"2009Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",10.2,-7.1
"2009Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",13.1,-1.7
"2009Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",13.1,-1.7
"2010Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",10.4,-6.2
"2010Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",10.4,-6.2
"2010Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",12.6,-3.5
"2010Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",12.6,-3.5
"2010Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",10.4,-3.8
"2010Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",10.4,-3.8
"2010Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",12.6,-13.4
"2010Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",12.6,-13.4
"2010Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",10.2,0.5
"2010Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",10.2,0.5
"2010Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",13.6,3.7
"2010Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",13.6,3.7
"2010Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",10.6,3.9
"2010Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",10.6,3.9
"2010Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",13.2,0.5
"2010Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",13.2,0.5
"2011Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",12.5,20.1
"2011Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",10.6,1.8
"2011Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",14.7,17.1
"2011Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",12.8,2.0
"2011Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",12.7,22.2
"2011Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",10.8,3.9
"2011Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",15.3,21.6
"2011Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",13.4,6.4
"2011Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",12.5,22.7
"2011Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",10.6,4.1
"2011Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",15.8,16.3
"2011Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",13.9,2.3
"2011Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",12.8,21.5
"2011Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",10.9,3.5
"2011Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",15.9,20.9
"2011Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",14.0,6.5
"2012Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",13.1,5.1
"2012Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",11.2,6.0
"2012Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",15.9,8.2
"2012Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",14.0,9.4
"2012Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",13.1,3.3
"2012Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",11.2,3.9
"2012Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",15.9,4.2
